epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78555,1.93716,5.4915,1.04883,0,0,0,0,2.64803,5.9481,1.28602,4e-05,4e-05,4e-05
2,3.32404,1.83967,5.18123,1.01045,0.00083,0.25,0.00075,8e-05,1.97513,5.43038,1.16872,9.9505e-05,9.9505e-05,9.9505e-05
3,3.94363,1.58244,4.64455,0.96545,0.00167,0.5,0.00215,0.00073,1.93901,4.89026,1.13466,0.000158416,0.000158416,0.000158416
4,4.5668,1.7492,4.0718,0.93629,0.0025,0.75,0.00814,0.00177,1.91068,4.74083,1.13803,0.000216733,0.000216733,0.000216733
5,5.32307,1.80789,3.52859,0.92897,0.0025,0.75,0.00899,0.00259,2.38889,5.20664,1.22535,0.000274456,0.000274456,0.000274456
6,5.91167,1.96692,2.96403,0.99377,0.0025,0.75,0.00906,0.00339,1.96245,5.27236,1.12968,0.000331585,0.000331585,0.000331585
7,6.51013,1.81483,2.85996,0.95065,0.0025,0.75,0.00906,0.00372,1.91754,4.99974,1.14342,0.00038812,0.00038812,0.00038812
8,7.08105,1.72078,3.0606,0.94667,0.0025,0.75,0.00863,0.0028,2.1251,5.42237,1.17115,0.000444061,0.000444061,0.000444061
9,7.67765,1.90618,2.68429,0.94799,0.0025,0.75,0.00825,0.00326,2.4725,5.05511,1.20884,0.000499408,0.000499408,0.000499408
10,8.24687,1.81076,2.95499,0.92695,0.0025,0.75,0.00809,0.00358,2.14367,5.07783,1.1761,0.000554161,0.000554161,0.000554161
11,8.84181,1.6588,2.88047,0.96124,0.0025,0.75,0.00783,0.00227,1.93486,4.73384,1.16182,0.00060832,0.00060832,0.00060832
12,9.40488,1.77188,2.42335,0.97238,0.00167,0.5,0.00361,0.00069,2.12054,4.69584,1.1633,0.000661885,0.000661885,0.000661885
13,10.0153,1.71697,2.91677,0.94264,0.00167,0.5,0.00326,0.00053,2.69244,4.99938,1.22611,0.000714856,0.000714856,0.000714856
14,10.5712,1.5121,2.35807,0.89396,0.00167,0.5,0.00302,0.0007,2.54886,4.61292,1.14863,0.000767233,0.000767233,0.000767233
15,11.1882,1.56324,2.13144,0.93504,0.00167,0.5,0.00296,0.00087,2.20196,4.86228,1.10104,0.000819016,0.000819016,0.000819016
16,11.7511,1.4398,1.90354,0.90592,0.0025,0.75,0.0057,0.00113,2.00892,4.72602,1.07206,0.000870205,0.000870205,0.000870205
17,12.4007,1.39794,1.93807,0.86756,0.00167,0.5,0.00278,0.00092,2.48615,4.5527,1.20458,0.0009208,0.0009208,0.0009208
18,13.023,1.51614,1.92353,0.93525,0.0025,0.75,0.00542,0.00171,2.40059,4.29394,1.15854,0.000970801,0.000970801,0.000970801
19,13.6028,1.66956,2.06623,0.93122,0.0025,0.75,0.00518,0.00156,2.02579,4.3131,1.11122,0.00102021,0.00102021,0.00102021
20,14.1962,1.49287,1.98659,0.93634,0.0025,0.75,0.00512,0.00161,1.97584,4.22998,1.08718,0.00106902,0.00106902,0.00106902
21,14.7921,1.35209,2.01899,0.83346,0.0025,0.75,0.00512,0.00211,1.97452,4.30166,1.07096,0.00111724,0.00111724,0.00111724
22,15.3781,1.60554,2.38652,0.9056,0.0025,0.75,0.0049,0.00172,2.13116,4.35689,1.05334,0.00116486,0.00116486,0.00116486
23,15.9844,1.40563,1.68466,0.9372,0.0025,0.75,0.00486,0.00145,2.01145,4.36257,1.04548,0.0012119,0.0012119,0.0012119
24,16.5746,1.34491,1.63812,0.88074,0.0025,0.75,0.00494,0.00173,2.23177,4.28764,1.09122,0.00125833,0.00125833,0.00125833
25,17.1649,1.43766,2.26206,0.90654,0.0025,0.75,0.08506,0.01755,2.63694,4.44868,1.17257,0.00130418,0.00130418,0.00130418
26,17.7752,1.5176,1.63665,0.92111,0.0025,0.75,0.00488,0.00131,2.53899,4.33251,1.19567,0.00134943,0.00134943,0.00134943
27,18.3701,1.37505,1.75023,0.88986,0.0025,0.75,0.00558,0.00232,2.13878,3.89425,1.16196,0.00139408,0.00139408,0.00139408
28,18.9551,1.59385,1.90982,0.92413,0.00333,1,0.53828,0.19731,1.85199,3.73803,1.14384,0.00143814,0.00143814,0.00143814
29,19.5157,1.32569,1.5439,0.89056,0.00333,1,0.53828,0.19731,1.85199,3.73803,1.14384,0.00148161,0.00148161,0.00148161
30,20.2221,1.59464,1.77738,0.91271,0.00333,1,0.74692,0.33913,1.82294,3.62942,1.12871,0.00152448,0.00152448,0.00152448
31,20.8328,1.34271,1.74193,0.89225,0.00333,1,0.68445,0.4346,1.4904,3.46443,1.11726,0.00156676,0.00156676,0.00156676
